Name,Date,Amount lost,Chains,Classification,Technique,Language
Lava,1711670400,340000,Arbitrum,Protocol Logic,Calculation Error in Liquidation Engine ,Solidity
PrismaLST,1711584000,11600000,Ethereum,Protocol Logic,Flashloan Trove Manipulation,Solidity
Munchables,1711411200,62500000,Blast,Protocol Logic,Storage Slot Exploit,Solidity
Curio,1711324800,16000000,Ethereum,Protocol Logic,Voting Power Inflation,Solidity
Super Sushi Samurai,1711065600,4800000,Blast,Protocol Logic,Infinite Mint and Dump,Solidity
Dolomite,1710892800,1800000,Ethereum,Protocol Logic,Acces Control Exploit,Solidity
Unizen,1709856000,2100000,Ethereum,Protocol Logic,External Call Vulnerability,Solidity
WOOFi Swap,1709596800,8500000,Arbitrum,Protocol Logic,Price Oracle Manipulation,Solidity
Shido,1709164800,3300000,Ethereum,Protocol Logic,Private Key Compromised,Solidity
Seneca,1709078400,6500000,"Ethereum, Arbitrum",Protocol Logic,Token approval exploit,Solidity
BlueBerry,1708732800,1400000,Ethereum,Protocol Logic,Flashloan Price Oracle Attack,Solidity
Tectonic,1708560000,250000,Cronos,Protocol Logic,Flashloan New Market Exploit,Solidity
Abracadabra Spell,1706572800,6500000,Ethereum,Protocol Logic,Borrow Logic Exploit,Solidity
Bungee,1705363200,3300000,Ethereum,Protocol Logic,Missing Input Validation,Solidity
Wise Lending V1,1705017600,464000,Ethereum,Protocol Logic,Rounding Donation Attack,Solidity
Gamma,1704326400,4500000,Arbitrum,Protocol Logic,Price Manipulation Attack,Solidity
Radiant V2,1704153600,4500000,Arbitrum,Protocol Logic,Flashloan New Market Exploit,Solidity
Orbit Bridge,1703980800,81700000,Ethereum,Protocol Logic,Signature Exploit,Solidity
Levana Perps,1703635200,1100000,Osmosis,Protocol Logic,Price Oracle Attack,Rust
KyberSwap Elastic,1700611200,48000000,"Ethereum, Base, Polygon, Optimism, Arbitrum",Protocol Logic,Flashloan Swap Logic Exploit,Solidity
dYdX V3,1700265600,9000000,Ethereum,Protocol Logic,Price Manipulation Attack,
Raft,1699574400,3300000,Ethereum,Protocol Logic,Infinite Mint and Dump,Solidity
Unibot,1698710400,640000,Ethereum,Protocol Logic,Token approval exploit,Solidity
Astrid Finance,1698537600,228000,Ethereum,Protocol Logic,Withdraw Function Argument Manipulation,
